country,consumption
Algeria,0.15
Angola,3.86
Benin,1.29
Botswana,4.29
Burkina Faso,5.01
Burundi,9.1
Cameroon,3.77
Cape Verde,4.78
Central African Republic,1.53
Chad,0.31
Comoros,0.31
Democratic Republic of the Congo,2.6
Cote d'Ivoire,1.77
Democratic Republic of the Congo,1.86
Equatorial Guinea,3.38
Eritrea,0.59
Ethiopia,0.86
Gabon,8.01
Gambia,2.59
Ghana,1.57
Guinea,0.2
Guinea-Bissau,2.19
Kenya,1.51
Lesotho,1.82
Liberia,3.82
Madagascar,1.59
Malawi,1.41
Mali,0.5
Mauritania,0.01
Mauritius,3.03
Mozambique,0.52
Namibia,5.97
Niger,0.05
Nigeria,10.57
Rwanda,6.93
Sao Tome and Principe,6.95
Senegal,0.46
Seychelles,3.36
Sierra Leone,6.39
South Africa,6.72
Swaziland,4.6
Togo,1.24
Tanzania,5.45
Zambia,2.4
Zimbabwe,4.41
Antigua and Barbuda,5.73
Argentina,8.4
Belize,6.25
Bolivia,3.23
Brazil,5.76
Canada,7.8
Chile,6.6
Colombia,5.68
Costa Rica,5.65
Cuba,2.26
Dominica,7.5
Dominican Republic,6.66
Ecuador,2.36
El Salvador,3.72
Grenada,6.67
Guatemala,1.46
Guyana,3.84
Haiti,8.3
Honduras,2.92
Jamaica,1.74
Mexico,4.57
Nicaragua,2.48
Panama,5.98
Paraguay,3.73
Peru,3.83
Saint Kitts and Nevis,6.73
Saint Lucia,11.48
Saint Vincent and the Grenadines,7
Trinidad and Tobago,4.17
United States,8.61
Uruguay,7.74
Venezuela,6.67
Afghanistan,0.01
Bahrain,6.98
Djibouti,1.79
Egypt,0.21
Iran,0
Iraq,0.21
Jordan,0.31
Kuwait,0.03
Lebanon,3.24
Libya,0.01
Morocco,0.45
Oman,0.26
Pakistan,0.01
Qatar,4.4
Saudi Arabia,0
Somalia,0
Sudan,0.3
Syria,0.49
Tunisia,1.23
United Arab Emirates,0.02
Yemen,0.04
Albania,2.01
Armenia,1.48
Austria,11.08
Azerbaijan,4.54
Belarus,5.53
Belgium,10.63
Bosnia and Herzegovina,9.05
Bulgaria,5.86
Croatia,12.25
Cyprus,11.52
Czech Republic,12.99
Denmark,11.71
Estonia,9
Finland,9.31
France,11.43
Georgia,1.47
Germany,11.99
Greece,9.01
Hungary,13.6
Iceland,6.99
Ireland,13.69
Israel,2.47
Italy,8.02
Kazakhstan,2.96
Kyrgyzstan,3.63
Latvia,9.61
Lithuania,9.89
Luxembourg,15.56
Malta,6.02
Netherlands,9.68
Norway,5.5
Poland,8.09
Portugal,11.54
Moldova,13.18
Romania,9.74
Russia,10.32
Slovakia,10.35
Slovenia,6.74
Spain,11.68
Sweden,5.96
Switzerland,10.83
Tajikistan,0.39
Macedonia,5.69
Turkey,1.37
Turkmenistan,1.18
Ukraine,6.09
United Kingdom,11.75
Uzbekistan,1.51
Bangladesh,0
Bhutan,0.23
North Korea,3.26
India,0.29
Indonesia,0.09
Burma,0.33
Nepal,0.19
Sri Lanka,0.28
Thailand,5.59
Australia,9.02
Brunei,0.12
Cambodia,1.48
China,5.2
Cook Islands,3.73
Fiji,1.72
Japan,7.59
Kiribati,0.45
Laos,6.91
Malaysia,1.06
Federated States of Micronesia,1.23
Mongolia,2.83
Nauru,0.87
New Zealand,9.68
Niue,9.47
Papua New Guinea,1.62
Philippines,3.51
South Korea,7.87
Samoa,1.73
Singapore,2.17
Solomon Islands,0.97
Tonga,0.75
Tuvalu,1.37
Vanuatu,0.75
Vietnam,0.85
